f1	f2
-4.358820754258819079e+02	-1.593487818409949597e+01
7.465796065087937450e+02	3.645118394544844591e+02
-4.358820754256357191e+02	-1.593487818396852340e+01
-4.358820754256659029e+02	-1.593487818398434008e+01
-4.358820754256580017e+02	-1.593487818397846745e+01
-3.809640837688370993e+02	1.929022869382965766e+01
-3.098338744854951301e+02	6.170955374678183780e+00
-4.358820754256678356e+02	-1.593487818397960609e+01
4.393265543723109090e+02	7.542652804181750525e+01
3.731424315923853783e+02	2.627506207738957755e+01
-3.944171587957674063e+01	1.056024916725373330e+01
9.004834401823906092e+02	1.420569372476100796e+02
4.640817812673628850e+02	4.790335028826191888e+00
-1.202076410494585978e+01	1.148215745292138337e+02
4.232494930570482552e+02	-3.599067222956688852e+02
5.173069408954690971e+02	7.858716286214688296e+01
-1.494060763109381753e+02	2.197582500862451838e+01
-4.262124137489138320e+01	7.518332656965403871e+00
-2.972019473333178894e+02	2.054514118120216182e+01
1.148224251980541339e+03	1.064267084651879429e+02
1.014208243995873431e+03	2.550365441521969245e+01
3.497496032744979289e+02	-5.551071256737312609e+01
6.289694780679028554e+02	6.994364059680800949e+01
5.484399143262646703e+02	-1.289131090049876072e+01
2.896473404638906004e+02	2.138993562631171415e+02
8.430823349058276790e+02	2.945518419383585638e+02
-2.492684114512902056e+02	-1.205036585357200707e+00
-3.138046837100396829e+02	2.287437793227990568e+01
-6.314040277099403653e+01	-4.368344598458833872e+01
-2.898807152356270933e+01	4.340501065376287926e+01
3.391089417732097218e+02	-1.377051164953770979e+01
5.763123110236045932e+02	-8.261304180598878943e+00
-3.390178923717568864e+02	4.529825886596292039e-01
-1.598790510290907605e+02	-8.375999734638959637e+01
-4.358820754256632313e+02	-1.593487818397907496e+01
-4.358820754256632313e+02	-1.593487818397907496e+01
-4.358820754256632313e+02	-1.593487818397907496e+01
1.213909774371353706e+03	2.049643639784912352e+02
-2.964457204985367298e+02	9.669535884213123822e+00
-4.183113740729004917e+02	-1.157553756244493748e+01
-4.358820754256632313e+02	-1.593487818397907496e+01
1.293621741981288324e+03	1.785367090047090528e+02
-4.358820754256632313e+02	-1.593487818397907496e+01
3.156710797014086438e+02	-8.520871058843003709e+01
-1.101633357578062515e+02	8.155086741586753618e+00
-4.358740293356912616e+02	-1.593905284888494833e+01
-2.608040704461977839e+02	-2.139456271585574143e+01
6.932150584954314354e+02	1.789539836162179540e+02
6.227449335707278806e+02	-2.253716854564741823e+01
3.750931233254003416e+01	-6.484480533591143292e+00
1.639356346958539632e+02	-2.793555542664456226e+01
-4.210335867805322323e+02	-1.552579755167594477e+01
